SEASON_LABEL,CLUTCH_WINDOW,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,TEAM_COUNT
1997-98,3m,Players,100091,Eva Nemcova,Eva,1611661315,CLE,25.0,1,0,1,0.0,3.0,128.6,112.5,112.5,118.3,114.3,114.3,10.2,-1.8,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,1.167,0.375,0.429,109.47,119.34,99.45,119.34,0.4,8,3,3,3.0,3.0,1.0,1,7,7,7,1,2,6,6,2,6,6,1,6,6,4,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1
1997-98,3m,Players,100006,Haixia Zheng,Haixia,1611661320,LAS,31.0,1,1,0,1.0,2.9,138.9,133.3,133.3,150.0,150.0,150.0,-11.1,-16.7,-16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.902,0.571,0.574,96.6,98.57,82.14,98.57,0.343,6,3,3,3.0,3.0,1.0,1,1,1,1,10,1,1,1,11,11,11,11,11,11,4,2,4,1,1,1,1,1,2,2,1,1,11,11,11,2,1,1,1,1,1,1
1997-98,3m,Players,100007,Jamila Wideman,Jamila,1611661320,LAS,22.0,1,1,0,1.0,3.0,118.3,114.3,114.3,128.6,112.5,112.5,-10.2,1.8,1.8,0.667,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.47,119.34,99.45,119.34,0.171,7,0,0,0.0,0.0,0.0,1,1,1,1,1,7,2,2,7,2,2,7,1,1,1,2,1,1,1,1,1,1,4,5,7,7,2,2,2,3,4,6,4,6,4,1
1997-98,3m,Players,100087,Janice Braxton,Janice,1611661315,CLE,36.0,1,0,1,0.0,3.0,128.6,112.5,112.5,118.3,114.3,114.3,10.2,-1.8,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.47,119.34,99.45,119.34,0.057,8,0,0,0.0,0.0,0.0,1,7,7,7,1,2,6,6,2,6,6,1,6,6,4,2,4,1,1,1,1,1,4,5,7,7,2,2,2,5,4,6,4,6,4,1
1997-98,3m,Players,100009,Katrina Colleton,Katrina,1611661320,LAS,27.0,1,1,0,1.0,3.0,118.3,114.3,114.3,128.6,112.5,112.5,-10.2,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,66.7,66.7,0.0,0.0,0.375,0.387,109.47,119.34,99.45,119.34,-0.171,7,0,1,0.0,1.0,0.0,1,1,1,1,1,7,2,2,7,2,2,7,1,1,4,2,4,1,1,1,11,11,4,5,2,4,2,2,2,11,4,4,4,4,4,1
1997-98,3m,Players,100011,Linda Burgess,Linda,1611661320,LAS,28.0,1,1,0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.26,757.89,631.58,757.89,0.0,1,0,0,0.0,0.0,0.0,1,1,1,1,11,11,11,11,1,1,1,6,5,5,4,2,4,1,1,1,1,1,4,5,7,7,1,1,1,8,4,6,4,6,4,1
1997-98,3m,Players,100003,Lisa Leslie,Lisa,1611661320,LAS,25.0,1,1,0,1.0,3.0,118.3,114.3,114.3,128.6,112.5,112.5,-10.2,1.8,1.8,0.333,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568,0.125,0.113,109.47,119.34,99.45,119.34,0.143,7,0,0,0.0,0.0,0.0,1,1,1,1,1,7,2,2,7,2,2,7,1,1,2,2,2,1,1,1,1,1,4,3,5,6,2,2,2,4,4,6,4,6,4,1
1997-98,3m,Players,100090,Lynette Woodard,Lynette,1611661315,CLE,38.0,1,0,1,0.0,3.0,128.6,112.5,112.5,118.3,114.3,114.3,10.2,-1.8,-1.8,0.333,1.0,25.0,0.0,0.0,0.0,25.0,25.0,0.5,0.5,0.375,0.429,109.47,119.34,99.45,119.34,0.057,8,1,2,1.0,2.0,0.5,1,7,7,7,1,2,6,6,2,6,6,1,6,6,2,1,3,1,1,1,10,10,3,4,2,2,2,2,2,5,3,3,3,3,3,1
1997-98,3m,Players,100088,Michelle Edwards,Michelle,1611661315,CLE,32.0,1,0,1,0.0,3.0,128.6,112.5,112.5,118.3,114.3,114.3,10.2,-1.8,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.143,109.47,119.34,99.45,119.34,-0.057,8,0,1,0.0,1.0,0.0,1,7,7,7,1,2,6,6,2,6,6,1,6,6,4,2,4,1,1,1,1,1,4,5,5,5,2,2,2,10,4,4,4,4,4,1
1997-98,3m,Players,100097,Rushia Brown,Rushia,1611661315,CLE,26.0,1,0,1,0.0,3.0,128.6,112.5,112.5,118.3,114.3,114.3,10.2,-1.8,-1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.47,119.34,99.45,119.34,0.0,8,0,0,0.0,0.0,0.0,1,7,7,7,1,2,6,6,2,6,6,1,6,6,4,2,4,1,1,1,1,1,4,5,7,7,2,2,2,8,4,6,4,6,4,1
