SEASON_LABEL,CLUTCH_WINDOW,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,TEAM_COUNT
2006-07,1m,Players,100949,Alana Beard,Alana,1611661322,WAS,25.0,1,0,1,0.0,0.6,123.0,100.0,100.0,144.9,100.0,100.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.667,0.82,196.02,263.87,219.9,263.87,0.222,3,1,2,1.0,2.0,0.5,19,25,13,25,24,20,12,12,30,14,14,24,16,16,4,1,4,1,1,1,1,1,7,13,3,3,4,4,4,12,1,1,1,1,7,1
2006-07,1m,Players,100723,Asjha Jones,Asjha,1611661323,CON,26.0,2,2,0,1.0,0.4,144.9,80.0,80.0,145.3,125.0,125.0,-0.4,-45.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.266,171.69,249.23,207.69,249.23,0.077,5,0,1,0.0,0.5,0.0,1,1,1,1,33,14,28,28,35,35,35,22,29,29,4,1,4,1,1,1,1,1,9,15,17,10,9,8,8,21,9,4,9,10,9,1
2006-07,1m,Players,100484,Betty Lennox,Betty,1611661328,SEA,30.0,1,0,1,0.0,1.2,50.0,40.0,40.0,109.9,100.0,100.0,-59.9,-60.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,154.95,182.54,152.11,182.54,2.0,5,0,1,0.0,1.0,0.0,19,25,13,25,6,33,33,33,14,14,14,31,32,32,4,1,4,1,1,1,1,1,9,15,13,13,12,15,15,1,9,4,9,3,9,1
2006-07,1m,Players,100843,Cheryl Ford,Cheryl,1611661321,DET,26.0,1,0,1,0.0,0.7,100.0,100.0,100.0,208.3,150.0,150.0,-108.3,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.33,130.61,108.84,130.61,0.0,2,0,0,0.0,0.0,0.0,19,25,13,25,17,27,12,12,38,37,37,37,30,30,4,1,4,1,1,1,1,1,9,15,22,23,32,31,31,22,9,18,9,18,9,1
2006-07,1m,Players,100930,Christi Thomas,Christi,1611661320,LAS,24.0,2,1,1,0.5,1.0,60.0,50.0,50.0,163.9,160.0,160.0,-103.9,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.36,126.22,105.18,126.22,0.0,6,0,0,0.0,0.0,0.0,1,7,13,13,12,32,32,32,36,38,38,36,38,38,4,1,4,1,1,1,1,1,9,15,22,23,31,38,38,22,9,18,9,18,9,1
2006-07,1m,Players,100345,Crystal Robinson,Crystal,1611661322,WAS,33.0,1,0,1,0.0,0.6,100.0,100.0,100.0,144.9,100.0,100.0,-44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.43,226.18,188.48,226.18,0.0,2,0,0,0.0,0.0,0.0,19,25,13,25,24,27,12,12,30,14,14,30,16,16,4,1,4,1,1,1,1,1,9,15,22,23,8,9,9,22,9,18,9,18,9,1
2006-07,1m,Players,100396,DeLisha Milton-Jones,DeLisha,1611661322,WAS,32.0,1,0,1,0.0,0.6,123.0,100.0,100.0,144.9,100.0,100.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136,0.0,0.18,196.02,263.87,219.9,263.87,0.222,3,0,0,0.0,0.0,0.0,19,25,13,25,24,20,12,12,30,14,14,24,16,16,4,1,4,1,1,1,1,1,9,2,22,19,4,4,4,12,9,18,9,18,9,1
2006-07,1m,Players,100533,DeMya Walker,DeMya,1611661318,SAC,29.0,2,1,1,0.5,0.9,154.6,150.0,150.0,100.0,83.3,83.3,54.6,66.7,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.04,130.67,108.89,130.67,0.111,4,0,0,0.0,0.0,0.0,1,7,13,13,13,9,2,2,10,10,10,10,7,7,4,1,4,1,1,1,1,1,9,15,22,23,26,27,27,18,9,18,9,18,9,1
2006-07,1m,Players,100639,Deanna Nolan,Deanna,1611661321,DET,27.0,2,1,1,0.5,0.6,133.3,100.0,100.0,123.0,100.0,100.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.25,101.34,130.4,108.67,130.4,0.364,4,1,1,0.5,0.5,1.0,1,7,13,13,20,16,12,12,24,14,14,17,16,16,4,1,4,1,1,1,1,1,3,6,13,13,33,32,32,10,1,4,4,10,1,1
2006-07,1m,Players,100931,Doneeka Lewis,Doneeka,1611661320,LAS,24.0,1,1,0,1.0,0.1,113.6,100.0,100.0,0.0,0.0,0.0,113.6,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.77,464.52,387.1,464.52,0.0,1,0,0,0.0,0.0,0.0,19,7,1,1,37,24,12,12,1,1,1,6,4,4,4,1,4,1,1,1,1,1,9,15,22,23,2,2,2,22,9,18,9,18,9,1
