SEASON_LABEL,CLUTCH_WINDOW,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
2006-07,1m,Players,100949,Alana Beard,Alana,1611661322,WAS,25.0,1,0,1,0.0,0.6366666666666667,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,2,-1,5.0,0,0,4.0,19,25,13,25,28,1,1,7,3,1,3,8,8,8,3,8,9,4,2,1,1,1,31,9,4,22,2,3,1,2,1
2006-07,1m,Players,100723,Asjha Jones,Asjha,1611661323,CON,26.0,2,2,0,1.0,0.8666666666666667,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,-1,2.4,0,0,2.0,1,1,1,1,24,9,4,9,3,8,3,8,8,8,1,2,1,4,2,2,1,1,1,9,15,22,7,3,1,7,1
2006-07,1m,Players,100484,Betty Lennox,Betty,1611661328,SEA,30.0,1,0,1,0.0,1.1833333333333333,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-2,0.0,0,0,0.0,19,25,13,25,17,9,4,9,3,1,3,8,8,8,3,8,9,4,2,2,1,1,31,9,15,31,21,3,1,21,1
2006-07,1m,Players,100843,Cheryl Ford,Cheryl,1611661321,DET,26.0,1,0,1,0.0,0.735,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0.0,19,25,13,25,26,9,18,9,3,8,3,8,8,8,3,8,9,4,2,2,1,1,1,9,15,22,21,3,1,21,1
2006-07,1m,Players,100930,Christi Thomas,Christi,1611661320,LAS,24.0,2,1,1,0.5,2.091666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,-5,0.0,0,0,0.0,1,7,13,13,4,9,18,9,3,8,3,8,8,8,3,8,9,4,2,2,1,1,1,3,15,39,21,3,1,21,1
2006-07,1m,Players,100345,Crystal Robinson,Crystal,1611661322,WAS,33.0,1,0,1,0.0,0.6366666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,19,25,13,25,28,9,18,9,3,8,3,8,8,8,3,8,9,4,2,2,1,1,1,9,15,31,21,3,1,21,1
2006-07,1m,Players,100396,DeLisha Milton-Jones,DeLisha,1611661322,WAS,32.0,1,0,1,0.0,0.6366666666666667,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,0,0,0,1,-1,1.0,0,0,1.0,19,25,13,25,28,9,18,9,3,8,3,4,7,1,3,8,9,4,2,2,1,1,1,9,12,22,18,3,1,14,1
2006-07,1m,Players,100533,DeMya Walker,DeMya,1611661318,SAC,29.0,2,1,1,0.5,1.8366666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,1.2,0,0,1.0,1,7,13,13,5,9,18,9,3,8,3,8,8,8,3,2,3,4,2,2,1,1,1,9,15,8,14,3,1,14,1
2006-07,1m,Players,100639,Deanna Nolan,Deanna,1611661321,DET,27.0,2,1,1,0.5,1.2883333333333333,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,1,2.0,0,0,2.0,1,7,13,13,11,1,4,1,3,8,3,8,8,8,3,8,9,4,2,2,1,1,1,9,4,8,9,3,1,7,1
2006-07,1m,Players,100931,Doneeka Lewis,Doneeka,1611661320,LAS,24.0,1,1,0,1.0,0.051666666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,19,7,1,1,37,9,18,9,3,8,3,8,8,8,3,8,9,4,2,2,1,1,1,9,15,8,21,3,1,21,1
