SEASON_LABEL,CLUTCH_WINDOW,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
2002-03,3m,Players,100363,Adrienne Goodson,Adrienne,1611661319,UTA,36.0,1,0,1,0.0,0.48333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,1,6,6,6,1,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,6,2,4,1,2,1
2002-03,3m,Players,100075,Janeth Arcain,Janeth,1611661316,HOU,34.0,1,1,0,1.0,0.48333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,1,1,1,1,1,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,4,1,2,1
2002-03,3m,Players,100382,Jennifer Azzi,Jennifer,1611661319,UTA,34.0,1,0,1,0.0,0.48333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,1,6,6,6,1,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,6,2,4,1,2,1
2002-03,3m,Players,100239,Margo Dydek,Margo,1611661319,UTA,29.0,1,0,1,0.0,0.48333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,1,0,0.0,1,6,6,6,1,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,6,2,1,1,2,1
2002-03,3m,Players,100685,Marie Ferdinand-Harris,Marie,1611661319,UTA,24.0,1,0,1,0.0,0.48333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0.0,1,6,6,6,1,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,6,2,4,1,2,1
2002-03,3m,Players,100366,Natalie Williams,Natalie,1611661319,UTA,32.0,1,0,1,0.0,0.48333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,1,0,0.0,1,6,6,6,1,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,6,2,1,1,2,1
2002-03,3m,Players,100072,Sheryl Swoopes,Sheryl,1611661316,HOU,32.0,1,1,0,1.0,0.48333333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,4,1,2,1
2002-03,3m,Players,100336,Sonja Henning,Sonja,1611661316,HOU,33.0,1,1,0,1.0,0.48333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,1,1,1,1,1,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,4,1,2,1
2002-03,3m,Players,100233,Tiffani Johnson,Tiffani,1611661316,HOU,27.0,1,1,0,1.0,0.48333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,1,1,1,1,1,2,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,4,1,2,1
2002-03,3m,Players,100076,Tina Thompson,Tina,1611661316,HOU,28.0,1,1,0,1.0,0.48333333333333334,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,2,2,3.2,1,0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
