SEASON_LABEL,CLUTCH_WINDOW,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,TEAM_COUNT
1997-98,1m,Players,100008,Tamecka Dixon,Tamecka,1611661320,LAS,22.0,1,1,0,1.0,1.0,144.9,133.3,133.3,166.7,125.0,125.0,-21.7,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.97,165.25,137.7,165.25,0.133,3,0,0,0.0,0.0,0.0,1,1,1,1,1,7,2,2,7,2,2,7,1,1,3,2,3,1,1,1,1,1,4,5,6,6,2,2,2,5,4,4,4,4,4,1
1998-99,1m,Players,100031,Bridget Pettis,Bridget,1611661317,PHO,28.0,1,1,0,1.0,1.2,186.2,175.0,175.0,60.0,60.0,60.0,126.2,115.0,115.0,0.5,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136,0.25,0.234,170.46,175.14,145.95,175.14,0.571,4,0,0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,7,2,6,7,11,11,11,2,7,7,7,7,7,1
1998-99,1m,Players,100022,Chantel Tremitiere,Chantel,1611661319,UTA,29.0,1,0,1,0.0,0.6,150.0,150.0,150.0,158.7,80.0,80.0,-8.7,70.0,70.0,0.333,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.53,378.95,315.79,378.95,-0.4,4,0,0,0.0,0.0,0.0,1,11,11,11,19,11,6,6,12,6,6,11,6,6,4,2,1,1,1,1,1,1,7,10,14,14,1,1,1,20,7,7,7,7,7,1
1998-99,1m,Players,100073,Cynthia Cooper,Cynthia,1611661316,HOU,36.0,1,1,0,1.0,1.1,181.8,133.3,133.3,120.0,120.0,120.0,61.8,13.3,13.3,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568,0.667,0.652,202.03,236.42,197.01,236.42,0.273,6,0,0,0.0,0.0,0.0,1,1,1,1,11,6,8,8,6,8,8,6,8,8,1,2,4,1,1,1,1,1,7,8,2,2,4,4,4,7,7,7,7,7,7,1
1998-99,1m,Players,100043,Elena Baranova,Elena,1611661319,UTA,27.0,1,0,1,0.0,1.1,120.0,120.0,120.0,181.8,133.3,133.3,-61.8,-13.3,-13.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.2,0.2,202.03,236.42,197.01,236.42,-0.182,5,0,0,0.0,0.0,0.0,1,11,11,11,11,13,13,13,14,13,13,14,13,13,5,2,5,1,1,1,20,20,7,10,8,8,4,4,4,19,7,7,7,7,7,1
1998-99,1m,Players,100091,Eva Nemcova,Eva,1611661315,CLE,26.0,1,0,1,0.0,1.2,60.0,60.0,60.0,186.2,175.0,175.0,-126.2,-115.0,-115.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,33.3,0.75,0.75,0.6,0.6,170.46,175.14,145.95,175.14,0.143,5,1,2,1.0,2.0,0.5,1,11,11,11,1,16,16,16,16,17,17,16,16,16,5,2,5,1,1,1,18,18,6,7,3,3,11,11,11,9,2,1,2,1,6,1
1998-99,1m,Players,100084,Fran Harris,Fran,1611661319,UTA,34.0,1,0,1,0.0,0.5,0.0,0.0,0.0,212.8,200.0,200.0,-212.8,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.44,131.71,109.76,131.71,0.0,1,0,0,0.0,0.0,0.0,1,11,11,11,22,21,21,21,21,22,22,21,22,22,5,2,5,1,1,1,1,1,7,10,14,14,21,22,22,10,7,7,7,7,7,1
1998-99,1m,Players,100087,Janice Braxton,Janice,1611661315,CLE,37.0,1,0,1,0.0,1.2,60.0,60.0,60.0,186.2,175.0,175.0,-126.2,-115.0,-115.0,1.0,1.0,50.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.2,0.2,170.46,175.14,145.95,175.14,-0.143,5,0,0,0.0,0.0,0.0,1,11,11,11,1,16,16,16,16,17,17,16,16,16,1,1,2,1,1,1,19,19,7,10,8,8,11,11,11,16,7,7,7,7,7,1
1998-99,1m,Players,100030,Jennifer Gillom,Jennifer,1611661317,PHO,35.0,1,1,0,1.0,1.2,186.2,175.0,175.0,60.0,60.0,60.0,126.2,115.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.798,0.5,0.5,170.46,175.14,145.95,175.14,0.429,4,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,5,1,1,1,1,1,2,6,4,4,11,11,11,4,2,3,2,3,1,1
1998-99,1m,Players,100083,Kim Perrot,Kim,1611661316,HOU,32.0,1,1,0,1.0,1.1,181.8,133.3,133.3,120.0,120.0,120.0,61.8,13.3,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.167,0.185,202.03,236.42,197.01,236.42,0.545,6,1,1,1.0,1.0,1.0,1,1,1,1,11,6,8,8,6,8,8,6,8,8,5,2,5,1,1,1,1,1,1,1,12,12,4,4,4,3,2,3,2,3,1,1
