SEASON_LABEL,CLUTCH_WINDOW,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1997-98,5m,Players,100091,Eva Nemcova,Eva,1611661315,CLE,25.0,1,0,1,0.0,5.0,3,3,1.0,1,1,1.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,7,-3,6.0,0,0,8.0,1,7,7,7,1,1,2,1,1,1,1,5,5,5,2,5,5,5,2,4,1,1,1,1,1,9,3,3,1,2,1
1997-98,5m,Players,100006,Haixia Zheng,Haixia,1611661320,LAS,31.0,1,1,0,1.0,4.905,3,4,0.75,0,0,0.0,1,2,0.5,0,0,0,1,0,0,0,0,1,0,7,3,8.5,0,0,8.0,1,1,1,1,9,1,1,2,3,3,3,2,1,2,2,5,5,2,4,4,1,1,8,1,1,1,2,3,1,2,1
1997-98,5m,Players,100089,Isabelle Fijalkowski,Isabelle,1611661315,CLE,26.0,1,0,1,0.0,0.9,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,1,0,1,-1,1.0,1,0,1.0,1,7,7,7,11,5,8,5,3,3,3,2,1,2,2,5,5,5,4,4,1,1,8,1,6,7,10,1,1,10,1
1997-98,5m,Players,100007,Jamila Wideman,Jamila,1611661320,LAS,22.0,1,1,0,1.0,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,2,0,0,0,0,0,0,0,3,5.4,0,0,4.0,1,1,1,1,1,5,8,5,3,3,3,5,5,5,2,1,2,1,4,4,1,1,1,1,7,1,4,3,1,4,1
1997-98,5m,Players,100087,Janice Braxton,Janice,1611661315,CLE,36.0,1,0,1,0.0,5.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,-3,2.4,0,0,2.0,1,7,7,7,1,5,5,5,3,3,3,5,5,5,2,1,2,5,4,4,1,1,12,1,7,9,9,3,1,7,1
1997-98,5m,Players,100009,Katrina Colleton,Katrina,1611661320,LAS,27.0,1,1,0,1.0,5.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,3,-2.0,0,0,0.0,1,1,1,1,1,5,5,5,3,3,3,5,5,5,2,5,5,5,1,4,1,1,1,1,7,1,12,3,1,11,1
1997-98,5m,Players,100011,Linda Burgess,Linda,1611661320,LAS,28.0,1,1,0,1.0,0.095,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,1,1,12,5,8,5,3,3,3,5,5,5,2,5,5,5,4,4,1,1,1,1,7,6,11,3,1,11,1
1997-98,5m,Players,100003,Lisa Leslie,Lisa,1611661320,LAS,25.0,1,1,0,1.0,5.0,1,2,0.5,1,1,1.0,1,2,0.5,2,1,3,1,0,0,0,0,0,0,4,3,9.1,1,0,9.0,1,1,1,1,1,3,3,3,1,1,1,2,1,2,1,3,1,2,4,4,1,1,1,1,3,1,1,1,1,1,1
1997-98,5m,Players,100090,Lynette Woodard,Lynette,1611661315,CLE,38.0,1,0,1,0.0,5.0,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,0,0,2,-3,3.7,0,0,4.0,1,7,7,7,1,3,3,3,3,3,3,5,5,5,2,3,4,2,2,4,1,1,1,1,4,9,6,3,1,4,1
1997-98,5m,Players,100088,Michelle Edwards,Michelle,1611661315,CLE,32.0,1,0,1,0.0,5.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,-3,3.0,0,0,2.0,1,7,7,7,1,5,5,5,3,3,3,5,5,5,2,5,5,5,4,1,1,1,8,1,7,9,7,3,1,7,1
1997-98,5m,Players,100097,Rushia Brown,Rushia,1611661315,CLE,26.0,1,0,1,0.0,4.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,-2,3.0,0,0,2.0,1,7,7,7,10,5,8,5,3,3,3,5,5,5,2,5,5,5,4,1,1,1,8,1,7,8,7,3,1,7,1
1997-98,5m,Players,100008,Tamecka Dixon,Tamecka,1611661320,LAS,22.0,1,1,0,1.0,5.0,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,1,0,0,0,0,2,3,5.0,0,0,4.0,1,1,1,1,1,5,8,5,3,3,3,1,1,1,2,5,5,5,4,1,1,1,1,1,4,1,5,3,1,4,1
1998-99,5m,Players,100031,Bridget Pettis,Bridget,1611661317,PHO,28.0,1,1,0,1.0,5.0,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,1,0,1,0,0,0,0,2,2,6.5,0,0,5.0,1,1,1,1,1,10,18,10,3,6,3,3,3,1,5,8,12,2,10,1,1,1,1,1,7,1,4,3,1,4,1
1998-99,5m,Players,100022,Chantel Tremitiere,Chantel,1611661319,UTA,29.0,1,0,1,0.0,0.57,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,2,1.5,0,0,1.0,1,11,11,11,22,10,18,10,3,6,3,5,5,5,5,8,12,2,10,7,1,1,20,1,12,1,13,3,1,15,1
1998-99,5m,Players,100073,Cynthia Cooper,Cynthia,1611661316,HOU,36.0,1,1,0,1.0,5.0,2,3,0.667,0,1,0.0,4,8,0.5,1,0,1,1,0,1,0,0,0,0,8,2,13.7,0,0,12.0,1,1,1,1,1,2,2,6,3,2,3,1,1,3,1,8,4,2,10,1,1,1,1,1,1,1,1,3,1,1,1
